Lat,Lon,Name,Parking_Space,Directions,Webpage
43.075183,-89.566091,Pope Farm Conservancy- Old Sauk,Yes,"https://www.google.com/maps/dir//43.075183,-89.566091/@43.075183,-89.568285,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDA0JzMwLjciTiA4OcKwMzMnNTcuOSJX!3b1!8m2!3d43.075183!4d-89.566091!4m1!3e1","https://town.middleton.wi.us/index.asp?SEC=CA102B3D-5C8E-4FEC-8A29-0C90F2908CC0&DE=EA815CED-3887-476A-9D24-7D0C5B14EA19"
43.07748,-89.565865,Pope Farm Conservancy- Old Sauk ,Yes,"https://www.google.com/maps/dir//43.07748,-89.565865/@43.0774839,-89.5680591,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDA0JzM4LjkiTiA4OcKwMzMnNTcuMSJX!3b1!8m2!3d43.07748!4d-89.565865!4m1!3e1","https://town.middleton.wi.us/index.asp?SEC=CA102B3D-5C8E-4FEC-8A29-0C90F2908CC0&DE=EA815CED-3887-476A-9D24-7D0C5B14EA19"
43.08166,-89.56671,Pope Farm Conservancy- Blackhawk,Yes,"https://www.google.com/maps/dir//43.08166,-89.56671/@43.0816639,-89.5689041,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDA0JzU0LjAiTiA4OcKwMzQnMDAuMiJX!3b1!8m2!3d43.08166!4d-89.56671!4m1!3e1","https://town.middleton.wi.us/index.asp?SEC=CA102B3D-5C8E-4FEC-8A29-0C90F2908CC0&DE=E5C41650-808C-482D-B56A-CDC6312ABEF8"
43.076951,-89.576117,Pope Farm Conservancy- Twin Valley,No,"https://www.google.com/maps/dir//43.076951,-89.576117/@43.0769549,-89.5783111,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDA0JzM3LjAiTiA4OcKwMzQnMzQuMCJX!3b1!8m2!3d43.076951!4d-89.576117!4m1!3e1","https://town.middleton.wi.us/index.asp?SEC=CA102B3D-5C8E-4FEC-8A29-0C90F2908CC0&DE=EA815CED-3887-476A-9D24-7D0C5B14EA19"
43.067551,-89.580109,Cardinal Point Tr,Yes,"https://www.google.com/maps/dir//43.067551,-89.580109/@43.0675549,-89.5823031,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDA0JzAzLjIiTiA4OcKwMzQnNDguNCJX!3b1!8m2!3d43.067551!4d-89.580109!4m1!3e1",None
43.07448,-89.573441,Pioneer Park/Town Hall,Yes,"https://www.google.com/maps/dir//43.07448,-89.573441/@43.0744839,-89.5756351,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDA0JzI4LjEiTiA4OcKwMzQnMjQuNCJX!3b1!8m2!3d43.07448!4d-89.573441!4m1!3e1","https://town.middleton.wi.us/index.asp?SEC=CA102B3D-5C8E-4FEC-8A29-0C90F2908CC0&DE=4DD07858-BCF5-4B71-84EE-624583BB133C"
43.074597,-89.595081,Goth Conservancy,Yes,"https://www.google.com/maps/dir//43.074597,-89.595081/@43.0746009,-89.5972751,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDA0JzI4LjYiTiA4OcKwMzUnNDIuMyJX!3b1!8m2!3d43.074597!4d-89.595081!4m1!3e1","https://town.middleton.wi.us/index.asp?SEC=CA102B3D-5C8E-4FEC-8A29-0C90F2908CC0&DE=BF881CEE-FF21-4230-B11C-C0CE793CCC7B"
43.0712235,-89.592099,Caribou Rd,No,"https://www.google.com/maps/dir//43.0712235,-89.592099/@43.0712274,-89.5942931,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDA0JzE2LjQiTiA4OcKwMzUnMzEuNiJX!3b1!8m2!3d43.0712235!4d-89.592099!4m1!3e1",None
43.07387,-89.58973,Adams Park Ct,No,"https://www.google.com/maps/dir//43.07387,-89.58973/@43.0738739,-89.5919241,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDA0JzI1LjkiTiA4OcKwMzUnMjMuMCJX!3b1!8m2!3d43.07387!4d-89.58973!4m1!3e1",None
43.06083,-89.592022,Cherrywood Acres Park,Yes,"https://www.google.com/maps/dir//43.06083,-89.592022/@43.0608339,-89.5942161,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDAzJzM5LjAiTiA4OcKwMzUnMzEuMyJX!3b1!8m2!3d43.06083!4d-89.592022!4m1!3e1","https://town.middleton.wi.us/index.asp?SEC=CA102B3D-5C8E-4FEC-8A29-0C90F2908CC0&DE=40312AD6-8E3A-452C-A358-0CBA8F73D90C"
43.058857,-89.591801,Voss Park,Yes,"https://www.google.com/maps/dir//43.058857,-89.591801/@43.0588609,-89.5939951,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDAzJzMxLjkiTiA4OcKwMzUnMzAuNSJX!3b1!8m2!3d43.058857!4d-89.591801!4m1!3e1","https://town.middleton.wi.us/index.asp?SEC=CA102B3D-5C8E-4FEC-8A29-0C90F2908CC0&DE=F64D3103-0799-45AD-A2FB-3774EFF32515"
43.05595,-89.591505,Swoboda Rd,No,"https://www.google.com/maps/dir//43.05595,-89.591505/@43.0559539,-89.5936991,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDAzJzIxLjQiTiA4OcKwMzUnMjkuNCJX!3b1!8m2!3d43.05595!4d-89.591505!4m1!3e1",None
43.050404,-89.592358,Swoboda Rd,No,"https://www.google.com/maps/dir//43.050404,-89.592358/@43.0504079,-89.5945521,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDAzJzAxLjUiTiA4OcKwMzUnMzIuNSJX!3b1!8m2!3d43.050404!4d-89.592358!4m1!3e1",None
43.046264,-89.58652,Sabaka Tr,No,"https://www.google.com/maps/dir//43.046264,-89.58652/@43.0462679,-89.5887141,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDAyJzQ2LjYiTiA4OcKwMzUnMTEuNSJX!3b1!8m2!3d43.046264!4d-89.58652!4m1!3e1",None
43.039424,-89.582597,Moraine Ridge Rd- Ice Age Trail,Yes,"https://www.google.com/maps/dir//43.039424,-89.582597/@43.0394279,-89.5847911,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDAyJzIxLjkiTiA4OcKwMzQnNTcuNCJX!3b1!8m2!3d43.039424!4d-89.582597!4m1!3e1",None
43.039854,-89.58454,Moraine Ridge Rd- Ice Age Trail,No,"https://www.google.com/maps/dir//43.039854,-89.58454/@43.0398579,-89.5867341,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDAyJzIzLjUiTiA4OcKwMzUnMDQuMyJX!3b1!8m2!3d43.039854!4d-89.58454!4m1!3e1",None
43.037012,-89.593853,Noll Valley Rd,No,"https://www.google.com/maps/dir//43.037012,-89.593853/@43.0370159,-89.5960471,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDAyJzEzLjIiTiA4OcKwMzUnMzcuOSJX!3b1!8m2!3d43.037012!4d-89.593853!4m1!3e1",None
43.038995,-89.593939,Noll Valley Rd- Noll Valley Conservancy,No,"https://www.google.com/maps/dir//43.038995,-89.593939/@43.0389989,-89.5961331,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDAyJzIwLjQiTiA4OcKwMzUnMzguMiJX!3b1!8m2!3d43.038995!4d-89.593939!4m1!3e1","https://town.middleton.wi.us/index.asp?SEC=CA102B3D-5C8E-4FEC-8A29-0C90F2908CC0&DE=DE49E982-71F0-481C-B3A7-6E29B2ECE09A"
43.041938,-89.596126,Ice Age Ln- Ice Age Trail,Yes,"https://www.google.com/maps/dir//43.041938,-89.596126/@43.0419419,-89.5983201,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDAyJzMxLjAiTiA4OcKwMzUnNDYuMSJX!3b1!8m2!3d43.041938!4d-89.596126!4m1!3e1",None
43.052086,-89.597545,Serene Ct,No,"https://www.google.com/maps/dir//43.052086,-89.597545/@43.0520899,-89.5997391,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDAzJzA3LjUiTiA4OcKwMzUnNTEuMiJX!3b1!8m2!3d43.052086!4d-89.597545!4m1!3e1",None
43.055855,-89.597129,Woodpond Tr,No,"https://www.google.com/maps/dir//43.055855,-89.597129/@43.0558589,-89.5993231,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDAzJzIxLjEiTiA4OcKwMzUnNDkuNyJX!3b1!8m2!3d43.055855!4d-89.597129!4m1!3e1",None
43.05804,-89.597759,Arapaho Ct,No,"https://www.google.com/maps/dir//43.05804,-89.597759/@43.0580439,-89.5999531,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDAzJzI4LjkiTiA4OcKwMzUnNTEuOSJX!3b1!8m2!3d43.05804!4d-89.597759!4m1!3e1",None
43.056532,-89.596098,Sequoia Tr,No,"https://www.google.com/maps/dir//43.056532,-89.596098/@43.0565359,-89.5982921,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDAzJzIzLjUiTiA4OcKwMzUnNDYuMCJX!3b1!8m2!3d43.056532!4d-89.596098!4m1!3e1",None
43.056056,-89.595248,Sequoia Tr,No,"https://www.google.com/maps/dir//43.056056,-89.595248/@43.0560599,-89.5974421,17z/data=!4m10!1m7!3m6!1s0x0:0x0!2zNDPCsDAzJzIxLjgiTiA4OcKwMzUnNDIuOSJX!3b1!8m2!3d43.056056!4d-89.595248!4m1!3e1",None
